Row,Building,City,Height m,Height ft,Floors,Year,Status
4580,Serebranniy Briz 3,Kyiv,119.20 m,391.08 ft,32 floors,2010,completed
4581,World Trade Center Tower I,Brussels,102.00 m,334.65 ft,28 floors,1972,completed
4582,Azzura Pacific Resort,Gold Coast City,100.50 m,329.72 ft,30 floors,2011,canceled
4583,Jewel Hotel,Gold Coast City,170.00 m,557.74 ft,48 floors,2019,completed
4584,360 Nicosia,Nicosia,135.00 m,442.91 ft,34 floors,2019,completed
4585,Goldin Finance 117,Tianjin,596.70 m,1957.68 ft,117 floors,2020,topped out
4586,Ryomyong Street 70-Storey Building,Pyongyang,240.00 m,787.40 ft,70 floors,2017,completed
4587,Limassol ONE,Limassol,170.00 m,557.74 ft,37 floors,2020,frame assembly
4588,World Trade Center Torre 4,Montevideo,40 floors,2012,completed
4589,Capitol Twin Peaks I,Colombo,50 floors,2021,frame assembly
4590,52-41 Center Boulevard,New York City,144.78 m,475.00 ft,46 floors,2022,topped out
4591,Mansudae Apartment 6,Pyongyang,110.00 m,360.89 ft,32 floors,2012,completed
4592,Mirae Taedong Residences 2,Pyongyang,148.00 m,485.56 ft,42 floors,2015,completed
4593,Mirae Green Tower,Pyongyang,148.00 m,485.56 ft,40 floors,2015,completed
4594,Grid Condos,Toronto,50 floors,2018,completed
4595,One Dundas Street West,Toronto,110.64 m,362.99 ft,29 floors,1977,completed
4596,Hochhausprojekt Altes Polizeipräsidium,Frankfurt am Main,145.00 m,475.72 ft,35 floors,,vision
4597,Sender Aholming Mast 1,Aholming,265.00 m,869.42 ft,,,completed
4598,Turm an der Großmarkthalle,Frankfurt am Main,120.00 m,393.70 ft,33 floors,,canceled
4599,510 Madison Avenue,New York City,137.90 m,452.43 ft,31 floors,2010,completed
4600,47 East 34th Street,New York City,137.16 m,450.01 ft,36 floors,2009,completed
4601,Iconova Block A2,Gaziantep,138.47 m,454.30 ft,35 floors,2018,completed
4602,Four Seasons Private Residences at 706 Mission,San Francisco,155.45 m,510.00 ft,43 floors,2020,topped out
4603,Oppenheimer Tower,Los Angeles,110.64 m,363.01 ft,24 floors,1971,completed
4604,The Century,Los Angeles,145.70 m,478.01 ft,42 floors,2009,completed
4605,U.S. Federal Courthouse,San Diego,101.50 m,333.01 ft,16 floors,2012,completed
4606,Metropolis Condominiums II,Los Angeles,140.51 m,461.00 ft,40 floors,2018,completed
4607,222 North Sepulveda Boulevard,El Segundo,109.73 m,360.00 ft,24 floors,,completed
4608,Winthrop Center,Boston,210.50 m,690.62 ft,48 floors,2022,frame assembly
4609,Hai Tian Center 3,Qingdao,245.00 m,803.81 ft,56 floors,2020,topped out
4610,Gables Republic Tower,Dallas,183.50 m,602.04 ft,36 floors,1954,completed
4611,110 North Wacker Drive,Chicago,248.11 m,814.00 ft,51 floors,2020,topped out
4612,369 West Grand,Chicago,136.86 m,449.00 ft,41 floors,2021,topped out
4613,Lightpark Tower 1,Tallinn,111.00 m,364.17 ft,28 floors,,proposed
4614,Citicorp Building,New York City,205.10 m,672.90 ft,50 floors,1990,completed
4615,Texas Tower,Houston,224.00 m,734.91 ft,47 floors,2021,frame assembly
4616,Kenya Commercial Bank Plaza,Nairobi,109.10 m,357.94 ft,23 floors,2015,completed
4617,Palm Exotjca,Malindi,370.00 m,1213.91 ft,61 floors,,proposed
4618,Pinnacle Tower 1,Nairobi,320.00 m,1049.87 ft,70 floors,,foundation work
4619,Fifth Third Center,Nashville,149.35 m,490.01 ft,30 floors,1986,completed
4620,The SoBro,Nashville,105.16 m,345.00 ft,32 floors,2016,completed
4621,505,Nashville,165.51 m,543.00 ft,45 floors,2018,completed
4622,Eleven on the River,Minneapolis,167.64 m,550.00 ft,42 floors,2022,frame assembly
4623,Nordkap Tower,Offenbach am Main,120.00 m,393.70 ft,,,proposed
4624,11 YV,Toronto,215.00 m,705.38 ft,65 floors,,site preparation
4625,Sugar Wharf Condos Phase 1 SE Tower,Toronto,64 floors,2022,frame assembly
4626,Sugar Wharf Condos Phase 2 NE Tower,Toronto,290.00 m,951.44 ft,87 floors,,proposed
4627,130 William Street,New York City,230.10 m,754.92 ft,61 floors,2020,topped out
4628,E2 at E Place,Toronto,46 floors,2022,foundation work
4629,1059 Third Avenue,New York City,146.60 m,480.97 ft,30 floors,2021,topped out
4630,Millennium Tower Two,Frankfurt am Main,150.00 m,492.13 ft,43 floors,,proposed
4631,Pearl Sky,Umhlanga,130.00 m,426.51 ft,33 floors,2018,completed
4632,Primrose Hill Tower 3,Hong Kong,205.40 m,673.88 ft,62 floors,2010,completed
4633,Primrose Hill Tower 1,Hong Kong,177.00 m,580.71 ft,51 floors,2010,completed
4634,The Proscenium Residences,Makati,60 floors,2021,topped out
4635,Primrose Hill Tower 2,Hong Kong,189.60 m,622.05 ft,55 floors,2010,completed
4636,84 East,Austin,41 floors,,proposed
4637,103 Colmore Row,Birmingham,105.50 m,346.13 ft,26 floors,2021,topped out
4638,Sama Beirut,Beirut,195.20 m,640.42 ft,52 floors,2017,completed
4639,Demco Towers A NEW,Brummana,100.00 m,328.08 ft,21 floors,,completed
4640,Ten York,Toronto,224.00 m,734.91 ft,65 floors,2019,completed
4641,11 Hoyt,New York City,188.98 m,620.00 ft,57 floors,,topped out
4642,The Metropolitan Office Tower,Tianjin,258.00 m,846.46 ft,53 floors,2013,completed
4643,Oceanwide Center South Tower,San Francisco,54 floors,2020,foundation work
4644,Torre Logar,Mexico City,105.00 m,344.49 ft,25 floors,1989,completed
4645,China Chuneng Tower,Shenzhen,288.60 m,946.85 ft,,2016,completed
4646,Harris Tower,Atlanta,116.44 m,382.00 ft,31 floors,1975,completed
4647,Zenith Tower I,Seongnam,115.00 m,377.30 ft,33 floors,2003,completed
4648,The Portman Ritz-Carlton,Shanghai,164.80 m,540.68 ft,48 floors,1990,completed
4649,Cityplace at Buckhead X,Atlanta,40 floors,,canceled
4650,The St. Clair at Cityfront Plaza,Chicago,40 floors,,canceled
4651,Orchid Woods 2,Mumbai,198.00 m,649.61 ft,55 floors,2013,completed
4652,Yuxi Mining Building,Yuxi,201.00 m,659.45 ft,39 floors,2013,completed
4653,Harris Trust and Savings Bank,Chicago,40 floors,,canceled
4654,Zorlu Center Tower D,Istanbul,107.00 m,351.05 ft,32 floors,2014,completed
4655,Vue Crescente Resort,Biloxi,111.25 m,365.00 ft,30 floors,,canceled
4656,Tour 9,Montreuil,100.00 m,328.08 ft,27 floors,1980,completed
4657,The Sharp Star City Tower A,Seoul,196.00 m,643.04 ft,58 floors,2006,completed
4658,Peace Hotel Tower A,Nanchang,160.00 m,524.93 ft,45 floors,,completed
4659,Plaza on Brickell Tower I,Miami,185.93 m,610.01 ft,56 floors,2007,completed
4660,Axis at Brickell Village North,Miami,127.41 m,418.01 ft,40 floors,2008,completed
4661,Athaydeville 21,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
4662,616 1st Avenue West Tower,New York City,164.70 m,540.35 ft,46 floors,2017,completed
4663,Solaire at the Plaza,Orlando,108.79 m,356.93 ft,30 floors,2006,completed
4664,The Galleria,New York City,165.80 m,543.96 ft,55 floors,1975,completed
4665,530 Collins Street,Melbourne,167.00 m,547.90 ft,40 floors,1991,completed
4666,Eshkol Tower,Haifa,102.00 m,334.65 ft,30 floors,1978,completed
4667,Aston Hotel Jakarta I,Jakarta,41 floors,1996,completed
4668,Zen Apartments,Melbourne,167.80 m,550.52 ft,50 floors,2011,completed
4669,Sheng-Tien,Kaohsiung,116.00 m,380.58 ft,29 floors,2000,completed
4670,Art Park 2,Warsaw,160.00 m,524.93 ft,,,proposed
4671,World Trade Center Building,Tokyo,158.00 m,518.38 ft,40 floors,1970,completed
4672,The Eaton Makati,Makati,43 floors,2007,canceled
4673,Sathorn Princess 2,Bangkok,40 floors,,frame assembly
4674,Eleven-Eleven Third Avenue,Seattle,138.38 m,454.01 ft,34 floors,1980,completed
4675,Metrotower II,Burnaby,111.30 m,365.15 ft,30 floors,1991,completed
4676,Faros de Panamá Torre Norte,Panama City,290.00 m,951.44 ft,73 floors,,canceled
4677,Coral Garden 3,Guangzhou,43 floors,2001,completed
4678,Wieża Jedności,Warsaw,300.00 m,984.25 ft,57 floors,1992,vision
4679,Sino-Steel International Tower,Tianjin,358.07 m,1174.75 ft,80 floors,2014,canceled
4680,Cousins Residential Tower II,Atlanta,40 floors,,proposed
4681,Roccabella 1,Montreal,147.00 m,482.28 ft,40 floors,2015,completed
4682,National Fashion Center Building,Tokyo,107.00 m,351.05 ft,25 floors,1999,completed
4683,Metro City II Tower 5,Hong Kong,136.60 m,448.16 ft,44 floors,2000,completed
4684,Sumitomo Fudosan Shinjuku Grand Tower,Tokyo,195.20 m,640.42 ft,40 floors,2011,completed
4685,Calyon Building,New York City,131.68 m,432.00 ft,32 floors,1951,completed
4686,Howard Johnson Motor Lodge,Chicago,40 floors,,canceled
4687,Aqua Marine Tower 1,Hong Kong,49 floors,2003,completed
4688,Reflection Jomtien Beach Tower B,Pattaya,182.80 m,599.74 ft,44 floors,2013,completed
4689,Church Place,Melbourne,274.40 m,900.26 ft,62 floors,,canceled
4690,Torre Mural,Mexico City,133.00 m,436.35 ft,33 floors,1995,completed
4691,Hong Kong China Travel Service Building,Shenzhen,152.71 m,501.02 ft,31 floors,2008,completed
4692,Nikki Beach Hotel,Panama City,53 floors,,proposed
4693,Palace Hotel Residential Tower,San Francisco,203.91 m,669.01 ft,60 floors,,proposed
4694,Torre Per Uffici,Milan,160.00 m,524.93 ft,43 floors,,canceled
4695,U Condominiums East,Toronto,184.00 m,603.67 ft,55 floors,2015,completed
4696,260 Peachtree Building,Atlanta,114.91 m,377.00 ft,27 floors,1971,completed
4697,Liberte 7,Hong Kong,156.40 m,513.12 ft,44 floors,2003,completed
4698,Tencent Tower,Shenzhen,150.00 m,492.13 ft,37 floors,2010,completed
4699,Kwong Yin House,Hong Kong,40 floors,1998,completed
4700,Pacific Wind I,Panama City,108.00 m,354.33 ft,40 floors,,frame assembly
4701,Taman Anggrek V,Jakarta,151.00 m,495.41 ft,46 floors,1998,completed
4702,Project 360,Bristol,110.00 m,360.89 ft,32 floors,,canceled
4703,J57 SkyTown,Changsha,207.80 m,681.76 ft,57 floors,2015,completed
4704,11 Broadview Court 3,Hong Kong,47 floors,2001,completed
4705,Orbit Heights,Mumbai,40 floors,2010,completed
4706,Beijing Silver Tower,Beijing,145.00 m,475.73 ft,32 floors,1997,completed
4707,One Park Place,Houston,152.71 m,501.01 ft,37 floors,2009,completed
4708,Ocean Hotel,Shanghai,105.00 m,344.49 ft,32 floors,1988,completed
4709,Infiniti A,Guadalajara,46 floors,,proposed
4710,Monte Blanc,Durban,40 floors,1985,completed
4711,The Broadgate Tower,London,161.25 m,529.04 ft,35 floors,2008,completed
4712,Eldorado Business Tower,São Paulo,140.95 m,462.43 ft,36 floors,2007,completed
4713,Station Square 2,Burnaby,57 floors,2018,frame assembly
4714,Marina Sky Tower 2,Dubai,60 floors,,approved
4715,Ningbo International Trade Center,Ningbo,206.20 m,676.51 ft,42 floors,2010,completed
4716,Harbor Court,Honolulu,41 floors,1994,completed
4717,Andersia,Poznań,101.00 m,331.36 ft,21 floors,2007,completed
4718,Nanjing Shimao Riviera New City 1,Nanjing,53 floors,,frame assembly
4719,Kaiserlei Turm II,Offenbach am Main,110.00 m,360.89 ft,,,vision
4720,Hongyi Tower,Shanghai,147.00 m,482.28 ft,29 floors,2006,completed
4721,Corso Tower,Rotterdam,186.00 m,610.24 ft,,,vision
4722,Château Puerto Madero Residence,Buenos Aires,155.70 m,510.83 ft,48 floors,2009,completed
4723,Onelink Center,Guangzhou,218.00 m,715.22 ft,53 floors,2010,completed
4724,Bashnia East Tower,Dnipropetrovsk,106.00 m,347.77 ft,28 floors,2005,completed
4725,Al Bidda Tower,Doha,196.60 m,645.01 ft,44 floors,2009,completed
4726,Sokolinaya Gora,Moscow,135.20 m,443.57 ft,36 floors,2008,completed
4727,Crown Towers,Melbourne,152.46 m,500.18 ft,43 floors,1997,completed
4728,Pacifica Honolulu,Honolulu,127.40 m,417.98 ft,46 floors,2012,completed
4729,Carrot Tower,Tokyo,124.36 m,408.01 ft,27 floors,1995,completed
4730,United States Plywood Building,New York City,143.87 m,472.00 ft,38 floors,1961,completed
4731,The Waterfront 2,Hong Kong,142.46 m,467.39 ft,46 floors,2000,completed
4732,Leninsky Prospekt 92-1,Moscow,107.80 m,353.67 ft,28 floors,2006,completed
4733,Choi Kwai House,Hong Kong,131.45 m,431.27 ft,41 floors,2002,completed
4734,100 High Street,Boston,120.00 m,393.70 ft,28 floors,1988,completed
4735,Hiu Tin House,Hong Kong,41 floors,1997,completed
4736,Sheung Lai House,Hong Kong,42 floors,1998,completed
4737,The Oval West Tower,Kuala Lumpur,41 floors,2009,completed
4738,Residencial Renaissance Torre B,Balneário Camboriú,110.62 m,362.93 ft,35 floors,,topped out
4739,The Pinnacle@Duxton Block 1F,Singapore,50 floors,2009,completed
4740,NTT Docomo Kyushu Building,Fukuoka,113.00 m,370.73 ft,16 floors,,completed
4741,Menara Kadin Indonesia,Jakarta,169.00 m,554.47 ft,37 floors,1997,completed
4742,Parque del Mar 2,Panama City,48 floors,,proposed
4743,685 1st Avenue,New York City,219.76 m,721.01 ft,69 floors,2018,canceled
4744,The Lighthouse,Panama City,42 floors,,proposed
4745,Allendale Square,Perth,132.01 m,433.10 ft,31 floors,1977,completed
4746,Act Tower,Hamamatsu,212.76 m,698.03 ft,45 floors,1994,completed
4747,The Oasis Apartment Tower,Kuala Lumpur,40 floors,,canceled
4748,Dongguan Grand South Capital Hotel,Dongguan,55 floors,,frame assembly
4749,Kempinski Hotel & Resorts,Warsaw,46 floors,,canceled
4750,1 MetroTech Center,New York City,125.44 m,411.55 ft,23 floors,1992,completed
4751,Nan Fung Plaza 2,Hong Kong,151.48 m,496.98 ft,49 floors,2000,completed
4752,Fortune Tower,Shenzhen,218.00 m,715.22 ft,54 floors,2008,completed
4753,Vernissage Jardins Torre A,São Paulo,42 floors,,canceled
4754,Hong Feng Building 1,Shanghai,106.00 m,347.77 ft,34 floors,,completed
4755,Skyline Apartments,Brisbane,150.00 m,492.13 ft,47 floors,2007,completed
4756,The Pacifica Tower 5,Hong Kong,50 floors,2005,completed
4757,Reforma 222 Torre II,Mexico City,125.83 m,412.83 ft,31 floors,2007,completed
4758,ANZ World Headquarters,Melbourne,162.00 m,531.50 ft,37 floors,1993,completed
4759,Paitilla 101,Panama City,60 floors,,proposed
4760,Brillia Tower Tokyo,Tokyo,159.11 m,522.01 ft,45 floors,2006,completed
4761,Langham Place Hotel Hong Kong,Hong Kong,169.78 m,557.02 ft,42 floors,2004,completed
4762,Montalcini,São Paulo,104.40 m,342.52 ft,34 floors,2011,topped out
4763,55 Broad Street,New York City,122.53 m,402.00 ft,31 floors,1967,completed
4764,One Broadway Plaza,Santa Ana,150.27 m,493.01 ft,37 floors,,site preparation
4765,Buckingham 12,Singapore,119.00 m,390.42 ft,38 floors,2002,completed
4766,Emporio Place East Tower,Bangkok,42 floors,2009,completed
4767,Panasonic Tower,Kuwait City,167.00 m,547.90 ft,34 floors,2009,completed
4768,Landmark Building Tower B,Jakarta,133.00 m,436.35 ft,31 floors,,completed
4769,Landmark,Shenzhen,206.00 m,675.85 ft,52 floors,2006,completed
4770,Maoye City Marriott Hotel,Wuxi,303.80 m,996.72 ft,68 floors,2014,completed
4771,Goodrich Garden 1,Hong Kong,40 floors,1993,completed
4772,Tour AXA,Montreal,104.00 m,341.20 ft,26 floors,1973,completed
4773,Dizengoff Tower,Tel Aviv,106.00 m,347.77 ft,29 floors,1985,completed
4774,501 Congress Avenue,Austin,214.89 m,705.01 ft,47 floors,2008,vision
4775,Linked Towers,Kuala Lumpur,52 floors,,proposed
4776,Nibankan,Kobe,103.00 m,337.93 ft,31 floors,1999,completed
4777,Tanglin Halt Block 89,Singapore,40 floors,2006,completed
4778,TS Tower,Tokyo,102.00 m,334.65 ft,23 floors,2003,completed
4779,Tel Aviv Tower 3,Tel Aviv,139.00 m,456.04 ft,34 floors,2013,completed
4780,Romareda I,Zaragoza,125.00 m,410.10 ft,40 floors,,canceled
4781,Palm Tower 1,Doha,244.50 m,802.17 ft,58 floors,2011,completed
4782,Stellar Tower,Abu Dhabi,255.00 m,836.61 ft,66 floors,,canceled
4783,Azure,Dallas,114.30 m,375.00 ft,31 floors,2007,completed
4784,Rich Gate City Tower 2,Shenyang,350.00 m,1148.29 ft,80 floors,,canceled
4785,Triumph of Astana,Astana,142.00 m,465.88 ft,39 floors,2006,completed
4786,Hing Tsui Court,Hong Kong,125.95 m,413.22 ft,39 floors,1999,completed
4787,Tennozu View Tower,Tokyo,105.01 m,344.50 ft,33 floors,1995,completed
4788,Athaydeville 15,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
4789,Torre Parque Arauco,Santiago de Chile,155.00 m,508.53 ft,40 floors,,canceled
4790,BSR Tower 3,Bnei Brak,145.40 m,477.03 ft,38 floors,2013,completed
4791,Pearl City Mansion,Hong Kong,109.00 m,357.61 ft,34 floors,1971,completed
4792,Marina del Rey 3,Toronto,111.00 m,364.17 ft,33 floors,1990,completed
4793,Torre Piacentini,Genoa,107.90 m,354.00 ft,31 floors,1940,completed
4794,Abraj Al-Bait Marwah Tower,Mecca,232.00 m,761.15 ft,46 floors,2008,completed
4795,Northeast Asia Trade Tower,Incheon,305.00 m,1000.66 ft,68 floors,2011,completed
4796,220-222 Tai Kok Tsui Road 2,Hong Kong,55 floors,,canceled
4797,Royal Reforma III,Mexico City,101.00 m,331.36 ft,25 floors,1996,completed
4798,Choi Pak House,Hong Kong,127.88 m,419.54 ft,41 floors,2002,completed
4799,Tokyo Medical and Dental University Dental Research Tower,Tokyo,125.95 m,413.22 ft,26 floors,2007,completed
4800,De Hoge Heren I,Rotterdam,102.00 m,334.65 ft,35 floors,2000,completed
4801,Soochow International Plaza West Tower,Huzhou,288.00 m,944.88 ft,50 floors,2014,completed
4802,Hwaseong Dongtan Metapolis 101,Hwaseong,248.70 m,815.94 ft,66 floors,2010,completed
4803,Bahía del Golf 1,Panama City,40 floors,,frame assembly
4804,Berrini Financial Center Torre 1,São Paulo,129.00 m,423.23 ft,29 floors,2013,approved
4805,F5 Tower,Seattle,196.75 m,645.51 ft,43 floors,2017,completed
4806,Nobu Hotel and Residences,New York City,198.00 m,649.61 ft,62 floors,,canceled
4807,The Grand Residences at Parkside Village,Mississauga,45 floors,2013,completed
4808,Farrer Court Redevelopment Block 7,Singapore,150.00 m,492.13 ft,36 floors,,approved
4809,Sau Wai House,Hong Kong,131.45 m,431.27 ft,41 floors,1996,completed
4810,GT Land Landmark Plaza North Tower,Guangzhou,206.80 m,678.48 ft,46 floors,2014,completed
4811,Azure,New York City,107.29 m,352.00 ft,32 floors,2010,completed
4812,Residences at RCMI,Toronto,145.80 m,478.35 ft,42 floors,2014,completed
4813,The Andrew,Chicago,45 floors,,canceled
4814,Sun Tuen Mun Centre 7,Hong Kong,150.25 m,492.95 ft,48 floors,1991,completed
4815,Wongtee Plaza,Shenzhen,253.60 m,832.02 ft,65 floors,2016,completed
4816,Nishi Tomihisa Redevelopment,Tokyo,65 floors,,approved
4817,Oscar By The Sea Tower 1,Hong Kong,141.21 m,463.29 ft,42 floors,2002,completed
4818,African Union Headquarters,Addis Ababa,117.70 m,386.15 ft,21 floors,2012,completed
4819,Dag Hammarskjold Tower,New York City,137.16 m,450.00 ft,43 floors,1982,completed
4820,Cityplace at Buckhead IV,Atlanta,150.27 m,493.01 ft,42 floors,,canceled
4821,Centro Financiero,Málaga,258.00 m,846.46 ft,40 floors,,canceled
4822,Costa Blanca 1,Benidorm,116.00 m,380.58 ft,36 floors,1993,completed
4823,Polat Tower Residence,Istanbul,152.50 m,500.33 ft,40 floors,2001,completed
4824,Gold Coast Guangzhou Phase 3 C,Guangzhou,46 floors,2002,completed
4825,Shiba-Koen First Building,Tokyo,151.00 m,495.41 ft,35 floors,2000,completed
4826,The Sun's Group Centre,Hong Kong,132.83 m,435.79 ft,30 floors,1996,completed
4827,Shanghai International Trade Center,Shanghai,139.00 m,456.04 ft,37 floors,1991,completed
4828,Anhui New Broadcasting & TV Center,Hefei,245.00 m,803.81 ft,46 floors,2013,completed
4829,Old City Harbor Tower III,Philadelphia,193.96 m,636.35 ft,37 floors,,canceled
4830,600 Lexington,New York City,133.00 m,436.35 ft,36 floors,1985,completed
4831,S4-Tower,Saitama,105.00 m,344.49 ft,32 floors,2002,completed
4832,Baniyas Tower Block A,Dubai,100.00 m,328.08 ft,22 floors,1999,completed
4833,Deji Mansion,Nanjing,150.00 m,492.13 ft,35 floors,2003,completed
4834,Citadel Tower 1,Sydney,110.00 m,360.89 ft,21 floors,1991,completed
4835,Arcadia Court R3,Tianjin,215.00 m,705.38 ft,59 floors,2014,completed
4836,Grand Hyatt Serviced Apartments,Hong Kong,164.90 m,541.01 ft,46 floors,1990,completed
4837,Sham Wan Towers 2,Hong Kong,51 floors,2003,completed
4838,YooPanama,Panama City,246.80 m,809.71 ft,78 floors,2013,completed
4839,Tora 4 Plan Office Tower,Tokyo,112.60 m,369.42 ft,23 floors,2006,completed
4840,Wuhan Splendid Yangtze 1,Wuhan,175.00 m,574.15 ft,54 floors,,approved
4841,Plaza de Castilla I,Madrid,50 floors,,canceled
4842,Canadian Western Bank Place,Edmonton,120.57 m,395.56 ft,31 floors,1981,completed
4843,World Trade Tower,Shanghai,153.00 m,501.97 ft,31 floors,1996,completed
4844,Beijing Nexus Center,Beijing,163.90 m,537.73 ft,37 floors,2009,completed
4845,Tower X,Chicago,70 floors,,vision
4846,The Peak at Sudirman,Jakarta,218.54 m,717.01 ft,55 floors,2006,completed
4847,Santa Fé cuatro 55,Mexico City,107.40 m,352.36 ft,34 floors,2005,completed
